date, pm25, pm10, o3, no2, so2, co,Date
2025-02-01,325,163,26,22,1,7,2025-02-01
2025-02-02,246, , , , , ,2025-02-02
2024-02-01,169,133,3,12,4,6,2024-02-01
2024-02-02,196,224,4,17,7,13,2024-02-02
2024-02-03,198,189,2,15,5,6,2024-02-03
2024-02-04,223,121,3,10,2,6,2024-02-04
2024-02-05,177,143,12,13,6,6,2024-02-05
2024-02-06,161,146,6,15,2,5,2024-02-06
2024-02-07,163,121,15,19,1,5,2024-02-07
2024-02-08,160,258,9,59,4,25,2024-02-08
2024-02-09,175,352,20,72,4,10,2024-02-09
2024-02-10,284,231,10,75,4,9,2024-02-10
2024-02-11,254,223,16,71,4,7,2024-02-11
2024-02-12,238,385,14,67,5,12,2024-02-12
2024-02-13,316,248,19,47,4,7,2024-02-13
2024-02-14,263,222,20,27,4,9,2024-02-14
2024-02-15,218,210,17,23,5,13,2024-02-15
2024-02-16,203,235,16,29,5,17,2024-02-16
2024-02-17,211,255,10,29,4,19,2024-02-17
2024-02-18,188,227,17,23,3,10,2024-02-18
2024-02-19,179,172,11,18,3,11,2024-02-19
2024-02-20,200,174,11,13,3,11,2024-02-20
2024-02-21,187,125,13,16,4,10,2024-02-21
2024-02-22,142,118,15,16,4,10,2024-02-22
2024-02-23,138,148,18,18,4,11,2024-02-23
2024-02-24,159,126,18,17,4,9,2024-02-24
2024-02-25,155,142,16,18,4,12,2024-02-25
2024-02-26,161,133,13,14,4,10,2024-02-26
2024-02-27,149,111,14,12,4,10,2024-02-27
2024-02-28,145,119,10,14,4,12,2024-02-28
2024-02-29,150,183,22,19,4,8,2024-02-29
2023-02-01,170,129,18,12,1,4,2023-02-01
2023-02-02,171,163,2,16,2,10,2023-02-02
2023-02-03,185,223,3,19,4,13,2023-02-03
2023-02-04,212,176,15,15,2,9,2023-02-04
2023-02-05,192,309,15,20,3,23,2023-02-05
2023-02-06,264,208,9,15,2,16,2023-02-06
2023-02-07,212,122,13,15,2,16,2023-02-07
2023-02-08,167,170,19,20,2,9,2023-02-08
2023-02-09,178,161,15,16,2,8,2023-02-09
2023-02-10,178,212,9,17,2,8,2023-02-10
2023-02-11,230,117,17,10,2,3,2023-02-11
2023-02-12,134,132,20,9,2,3,2023-02-12
2023-02-13,122,113,26,14,3,7,2023-02-13
2023-02-14,138,135,27,14,3,7,2023-02-14
2023-02-15,169,245,23,21,3,17,2023-02-15
2023-02-16,241,375,25,23,3,17,2023-02-16
2023-02-17,342,355,32,20,3,15,2023-02-17
2023-02-18,312,300, ,23,2,12,2023-02-18
2023-02-19,295,284,15,18,2,16,2023-02-19
2023-02-20,233,193,29,16,2,4,2023-02-20
2023-02-21,204,201,23,14,2,10,2023-02-21
2023-02-22,227,139,21,13,1,6,2023-02-22
2023-02-23,158,143,28,16,2,7,2023-02-23
2023-02-24,161,205,29,19,3,10,2023-02-24
2023-02-25,196,218,27,19,2,6,2023-02-25
2023-02-26,213,205,26,17,3,9,2023-02-26
2023-02-27,188,174,26,15,2,7,2023-02-27
2023-02-28,169,187,21,13,2,9,2023-02-28
2022-02-01,285,187,16,10,2,10,2022-02-01
2022-02-02,247,138,8,7,2,11,2022-02-02
2022-02-03,226,77,6,6,2,9,2022-02-03
2022-02-04,145,179,9,9,2,12,2022-02-04
2022-02-05,220,374,12,14,2,25,2022-02-05
2022-02-06,320,198,11,13,2,12,2022-02-06
